link,player,season,age,tm,lg,pos,g,gs,FirstSeasonMP,fg,fga,fgpercent,x3p,x3pa,x3ppercent,x2p,x2pa,x2ppercent,efgpercent,ft,fta,ftpercent,orb,drb,trb,ast,stl,blk,tov,pf,pts,SeasonNumber_1,SeasonNumberAdj,CumSumSeasonAdj,SeasonNumber,mp,games,games_started,NumberOfSeasons,status,LastSeason,DraftYear,PickNumber,Team,College,wprev,w_lpercentprev,wcur,w_lpercentcur
/players/c/collija02.html,Jason Collier,2000-01,23,HOU,NBA,C,23,0,9.7,1.2,3.1,0.38,0,0,0,1.2,3,0.386,0.38,0.7,1,0.708,0.5,1.1,1.6,0.3,0.1,0.1,0.5,1.2,3.1,1,0,0,1,2183.1,151,65,5,2,2004-05,2000,15,MIL,Georgia Tech,41.6,0.5582,41,0.551
/players/c/collija03.html,Jarron Collins,2001-02,23,UTA,NBA,C,70,68,20.6,2.3,4.9,0.461,0,0,0,2.3,4.9,0.462,0.461,1.9,2.6,0.74,2,2.3,4.2,0.8,0.4,0.3,0.8,3.3,6.4,1,0,0,1,8538.3,542,216,10,2,2010-11,2001,53,UTA,Stanford,54,0.7206,50,0.672
/players/c/collija04.html,Jason Collins,2001-02,23,NJN,NBA,C,77,9,18.3,1.5,3.6,0.421,0,0,0.5,1.5,3.6,0.42,0.423,1.5,2.1,0.701,1.7,2.2,3.9,1.1,0.4,0.6,0.9,2.2,4.5,1,0,0,1,14987.6,735,477,13,2,2013-14,2001,18,HOU,Stanford,28.2,0.3698,33.4,0.4332
/players/c/crawfch01.html,Chris Crawford,1997-98,22,ATL,NBA,PF,40,0,6.4,1.2,2.8,0.418,0,0.1,0.333,1.1,2.7,0.421,0.423,1.4,1.7,0.838,0.5,0.5,1,0.2,0.3,0.2,0.5,0.7,3.8,1,0,0,1,3987.8,252,92,7,2,2003-04,1997,50,ATL,Marquette,48.8,0.595,50.2,0.6122
/players/c/crawfja01.html,Jamal Crawford,2000-01,20,CHI,NBA,PG,61,8,17.2,1.8,5,0.352,0.7,1.9,0.35,1.1,3.1,0.353,0.419,0.4,0.6,0.794,0.1,1.3,1.5,2.3,0.7,0.2,1.4,1.1,4.6,1,0,0,1,38971.6,1326,433,19,2,2018-19,2000,8,CLE,Michigan,46.6,0.5906,35.2,0.4516
/players/c/croshau01.html,Austin Croshere,1997-98,22,IND,NBA,PF,26,0,9.3,1.2,3.3,0.372,0.2,0.5,0.308,1.1,2.8,0.384,0.395,0.3,0.5,0.571,0.4,1.3,1.7,0.3,0.3,0.2,0.5,1.2,2.9,1,0,0,1,11470.9,659,88,12,2,2008-09,1997,12,IND,Providence,46.2,0.5634,49.6,0.6048
/players/c/crottjo01.html,John Crotty,1992-93,23,UTA,NBA,PG,40,0,6.1,0.9,1.8,0.514,0.1,0.4,0.143,0.9,1.5,0.603,0.528,0.7,1,0.684,0.1,0.3,0.4,1.4,0.3,0,0.8,0.7,2.6,1,0,0,1,5793.8,477,6,11,2,2002-03,NA,61,NA,NA,52.4,0.6392,52.4,0.6392
/players/c/curryed01.html,Eddy Curry,2001-02,19,CHI,NBA,C,72,31,16,2.6,5.2,0.501,0,0,NA,2.6,5.2,0.501,0.501,1.5,2.2,0.656,1.5,2.2,3.8,0.3,0.2,0.7,1,2.4,6.7,1,0,0,1,13111,527,411,11,2,2012-13,2001,4,CHI,,35.2,0.4516,25.6,0.3346
/players/c/currymi01.html,Michael Curry,1993-94,25,PHI,NBA,SG,10,0,4.3,0.3,1.4,0.214,0,0.2,0,0.3,1.2,0.25,0.214,0.3,0.4,0.75,0,0.1,0.1,0.1,0.1,0,0.3,0.6,0.9,1,0,0,1,13196.300000000001,667,269,11,2,2004-05,NA,61,NA,NA,40.8,0.4976,36.6,0.4464
/players/d/dampier01.html,Erick Dampier,1996-97,21,IND,NBA,C,72,21,14.6,1.8,4.7,0.39,0,0,1,1.8,4.7,0.388,0.391,1.5,2.3,0.637,1.3,2.8,4.1,0.6,0.3,1,1.2,2.1,5.1,1,0,0,1,24011.4,987,771,16,2,2011-12,1996,10,IND,Mississippi State,46.4,0.5658,46.2,0.5634
/players/d/daniean01.html,Antonio Daniels,1997-98,22,MEM,NBA,SG,74,50,26.4,3.1,7.4,0.416,0.1,0.7,0.212,2.9,6.7,0.438,0.426,1.5,2.3,0.659,0.3,1.6,1.9,4.5,0.7,0.1,2.2,1.2,7.8,1,0,0,1,19663.5,872,220,13,2,2010-11,1997,4,VAN,Bowling Green,NA,NA,NA,NA
/players/d/davisan01.html,Antonio Davis,1993-94,25,IND,NBA,PF,81,4,21.4,2.7,5.2,0.508,0,0,0,2.7,5.2,0.509,0.508,2.4,3.7,0.642,2.3,3.9,6.2,0.7,0.6,1,1.3,2.3,7.7,1,0,0,1,26088.3,903,524,13,2,2005-06,1990,45,IND,Texas-El Paso,38.4,0.4682,42.2,0.5146
/players/d/davisba01.html,Baron Davis,1999-00,20,CHA,NBA,PG,82,0,18.6,2.2,5.3,0.42,0.3,1.4,0.225,1.9,3.9,0.488,0.449,1.2,1.9,0.634,0.6,1.4,2,3.8,1.2,0.2,1.7,2.5,5.9,1,0,0,1,28597.7,835,692,13,2,2011-12,1999,3,CHH,UCLA,44,0.5804,43.8,0.578
/players/d/davisda01.html,Dale Davis,1991-92,22,IND,NBA,PF,64,23,20.3,2.4,4.4,0.552,0,0,0,2.4,4.3,0.554,0.552,1.4,2.4,0.572,2.5,3.9,6.4,0.5,0.4,1.2,0.8,3,6.2,1,0,0,1,29612.9,1094,863,16,2,2006-07,1991,13,IND,Clemson,35,0.4266,37.8,0.4608
/players/d/davisem01.html,Emanual Davis,1996-97,28,HOU,NBA,PG,13,0,17.7,1.8,4.2,0.444,0.9,2.1,0.444,0.9,2.1,0.444,0.556,0.4,0.6,0.625,0.2,1.5,1.7,2,0.7,0.2,1.3,1.5,5,1,0,0,1,3933.8,226,62,6,2,2002-03,NA,61,NA,NA,50,0.6096,53,0.6462
/players/d/davishu01.html,Hubert Davis,1992-93,22,NYK,NBA,SG,50,2,16.3,2.2,5,0.438,0.1,0.4,0.316,2.1,4.6,0.448,0.45,0.9,1.1,0.796,0.3,0.9,1.1,1.7,0.4,0.1,0.9,1.4,5.4,1,0,0,1,15146.2,685,149,12,2,2003-04,1992,20,NYK,UNC,45,0.5488,49.4,0.6026
/players/d/davisri01.html,Ricky Davis,1998-99,19,CHA,NBA,SG,46,1,12.1,1.8,4.3,0.405,0,0.3,0.167,1.7,4.1,0.42,0.41,1,1.3,0.763,0.9,1,1.8,1.3,0.7,0.2,1.2,1,4.5,1,0,0,1,21923.3,736,344,12,2,2009-10,1998,21,CHH,Iowa,47.4,0.5782,44,0.5804
/players/d/declean01.html,Andrew DeClercq,1995-96,22,GSW,NBA,C,22,1,9.2,1.1,2.3,0.48,0,0,0,1.1,2.2,0.49,0.48,0.5,0.9,0.579,0.8,1,1.8,0.4,0.3,0.2,0.2,1.4,2.7,1,0,0,1,9847.4,587,253,10,2,2004-05,1995,34,GSW,Florida,41.8,0.51,40.2,0.4904
